latin,common,image_name,height_code,bloom_code,sun_code,moist_code,cat_code,deer_code,wild_code ,soil_code,wildlife_comments,design_function,gardening_tips,credit_code,region_code
Acer rubrum,Red Maple,acer_rubrum.jpg,7,2,3,3,5,6,6,6,"Evening Grosbeak, Flying Squirrel, Chipmunk; silkworm moths species, used by a lot of moths.",Shade tree. Specimen.,40-70 feet. Fast-growing. Tolerates wet soil and air pollution. Avoid planting near sidewalks as shallow root system may cause buckling.,5,6
Achillea millefolium,Common Yarrow,achillea_millefolium.jpg,2,4,2,2,1,6,15,5,Cottontail rabbit. Painted Lady butterfly. Several cavity nesting birds use Yarrow to line their nests. , Border. , Drought tolerant. Many colors available.,5,7
Actaea racemosa,Common black cohosh; bugbane,actaea_racemosa.jpg,3,4,5,4,1,6,11,7,Appalachian Azur caterpillars. , Shade border. Woodland garden.,,1,7
Adiantum pedatum,Northern Maidenhair Fern,adiantum_pedatum.jpg,2,1,5,4,4,1,30,7,Provides shelter for toads and lizards.,Unique foliage.,Some sources suggest adding calcium. Forms colonies by means of creeping rhizomes.,1,7
Ageratina altissima [formerly Eupatorium rugosum],White Snakeroot,logo_785x853.jpg,3,6,3,2,1,6,13,6, Host to 5 species of Lepidoptera ,Groundcover. , Reseeds. ,6,7
Alnus serrulata,Smooth Alder; Hazel Alder,alnus_serrulata2.jpg,4,2,1,5,2,6,1,5,"Common and Hoary Redpoll, Pine Siskin, Goldfinch, Ruffed Grouse, American Woodcock, Swamp Sparrow. Provides cover for many other birds. Mice, deer, and beaver eat parts, and beavers will also use for dam construction. A carniverous caterpillar (Fenisca tarquinius - Harverter) is often found on plant consuming the aphids that this plant attracts.",Streambank stabilization.,Space 5-10 feet apart. ,5,7
Amelanchier arborea,Downy Serviceberry,amelanchier_arborea.jpg,5,2,5,2,5,6,6,7,"Squirrel, Thrush,  Cardinal, Catbird, Chickadee, Thrasher, Mockingbird, Bluebird, Chipmunk, Flying Squirrel  This genus is known to host 124 species of Lepidoptera and at least 40 bird species eat the fruit, as well as countless mammals. Supplies needed nectar in early spring. ",Ornamental understory tree. Commercial spaces. Multi-season interest. Small gardens.,"White flowers in March - May followed by red to purple fruit in June - August, then brilliant fall color ranging from yellow and orange to red.",6,6
Amelanchier laevis,Allegheny Serviceberry,amelanchier_laevis.jpg,5,2,5,2,5,6,6,1,"This genus is known to host 124 species of Lepidoptera and at least 40 bird species eat the fruit, as well as countless mammals. Supplies needed nectar in early spring. ",,,5,6
Amelanchier canadensis,Canada Serviceberry,amelanchier_canadensis.jpg,5,2,2,4,5,4,1,6,"This genus is known to host 124 species of Lepidoptera and at least 40 bird species eat the fruit, as well as countless mammals. Supplies needed nectar in early spring. ",Ornamental understory tree.  Multi-season interest. Small gardens.,"White flowers in March - May followed by red to purple fruit in June - August, then brilliant fall color ranging from yellow and orange to red.",6,6
Amorpha fruticosa,False indigo,amorpha_fruticosa.jpg,4,3,2,2,2,1,14,6,Can form dense thickets and provide cover for wildlife.,,,3,7
Andropogon virginicus,Broomsedge; Broomstraw; Sedge Grass,logo_785x853.jpg,3,6,1,3,6,6,17,6,,Erosion control. Fall and winter interest.,Seeds are striking if fall and winter. Attracitve clum-forming grass turns a tawny brown in fall. ,6,7
Anemone virginiana,Tall Anemone; Thimbleweed,anemone_virginiana.jpg,2,3,2,2,1,6,30,6,,Ground cover.,,5,7
Antennaria plantaginifolia,Plantain-leaved Pussytoes,antennaria_plantaginifolia.jpg,1,3,1,2,1,6,5,7,"Cardinal, Cottontail rabbit, Painted Lady caterpillars",Very short ground cover. ,,1,7
Aquilegia canadensis,Wild Columbine; Eastern Red Columbine,aquilegia_canadensis.jpg,2,2,4,3,1,3,31,3,Larval host to Columbine Duskywing. The backward-pointed tubes of the flower contain nectar that attracts insects and hummingbirds with long tonuges especially adapted for reaching the sweet secretion.,"Short borders, nice on hillsides.",Short-lived but will pop up other places from seed.,2,7
Aralia racemosa,Spikenard; American Spikenard,aralia_racemosa.jpg,3,4,5,4,1,6,30,6,,,,5,7
Aralia spinosa,Devils Walking-stick; Hercules club,logo_785x853.jpg,5,4,2,2,5,6,17,6,,,Sends up new trunks at a long distance from the original.,6,7
Arisaema triphyllum,Common Jack-in-the-pulpit,arisaema_triphyllum2.jpg,2,3,5,5,1,2,1,7,"Wood Thrush, Wild turkey, Wood Duck, Pheasant. Birds and mammals eat the bright red berries.",Specimen. Shade or woodland garden. ,Excellent woods or shady garden plant. Very easy to cultivate.,5,7
Aronia arbutifolia,Red Chokeberry,aronia_arbutifolia.jpg,4,2,1,3,2,6,20,6,"Black Capped Chickadee, Cedar Waxwing, Red Fox. Per Alonso Abugattas, the fruit are not preferred food sources but are a starvation food readily consumed in late February or March by desperate birds.",Fall color.,"Beautiful white flowers and long-lasting fruit. Tolerates most soil conditions including compaction, some salt, some flooding, even pruning. Fall foliage intense, shiny, raspberry to crimson, with purplish highlights.",5,7
Aronia melanocarpa (Photinia melanocarpa),Black Chokeberry,aronia_melanocarpa.jpg,3,3,2,3,2,6,19,6,The fruit are not preferred food sources but are a starvation food readily consumed in late February or March by desperate birds (per Alonso Abugattas).,Commercial spaces. Erosion control.,"Beautiful white flowers and long-lasting fruit. Tolerates most soil conditions including compaction, some salt, some flooding, even pruning.",1,7
Aruncus dioicus,Goatsbeard (Eastern Goats-beard),aruncus_dioicus.jpg,3,3,5,2,1,2,16,6,Larval host to Dusky Azure (Celastrina nigra) butterfly. ,Shade border. Mass plantings,Needs space; good for large-scale displays massed in a drift down a slope.,1,7
Asarum canadense,Common Wild Ginger,asarum_canadense.jpg,1,2,5,4,1,2,16,6,Food source and larval host for Pipevine Swallowtail. Seeds dispersed by ants. , Groundcover for shade. Semi-evergreen. ,"A good, low-maintenance ground cover for woodlands and shaded landscape.",1,7
Asclepias incarnata,Swamp Milkweed,asclepias_incarnata.jpg,3,4,2,5,1,1,18,5,"Larval host to the Monarch butterfly and Queen butterfly. Black duck, Mallard. "," Rain garden, border. ","Does very well in average garden soil, particularly with some afternoon shade; tolerates heavy clay soils due to fibrous root structure. Tends to flop. It cannot be transplanted because of its deep taproot. Will inevitably have aphids, but the insects are not a problem unless the plant looks sick, in which case an effective treatment is to sprady the plant and aphids with soapy water.",1,7
Asclepias tuberosa,Butterfly Weed,asclepias_tuberosa.jpg,2,4,2,2,1,6,16,7,Larval host to the Monarch butterfly as well as Grey Hairstreak and Queen butterfly. ,Border.,"Very long blooming. Politely self-seeds. Aphids and milkweed bugs are normal and harmless. Tolerates dry, hot conditions. Leave undisturbed once established. Easily grown from seed though somewhat slow to establish and may take 2-3 years to produce flowers. ",1,7
Asimina triloba,Pawpaw; Common Pawpaw,asimina_triloba.jpg,5,2,3,4,5,1,6,7,A larval host for Zebra Swallowtail butterfly (Eurytides marcllus) and Pawpaw sphinx moth (Dolba hyloeus). (Total of 12 species of Lepidoptera). Fruit is consumed by various mammalian and bird wildlife; beaver will consume the bark.,Edible fruit,Two differrent (non-clonal) plants are needed to get fruit.,5,6
Asplenium platyneuron,Ebony Spleenwort,logo_785x853.jpg,2,1,3,4,4,6,30,6,Woodland mice may eat the fronds. Small insects eat the plant juice.,,"One of the most drought-tolerant ferns, takes more sun than many, provided it is kept moist enough.",6,7
Athyrium asplenioides,Southern Lady Fern,athyrium_asplenioides.jpg,2,1,5,4,4,6,30,7,Provides cover for Woodhouse toads and lizards. Host to three species of native caterpillars.,Spreading.,Beautiful upright feathery fronds give the illusion of a dainty fern. It can be used as a ground cover on the northeast side of buildings. Protect it from wind.,1,7
Baccharis halimifolia,High Tide Bush; Groundsel Tree; Mullet Bush,baccharis halimifolia.jpg,4,6,1,3,2,6,13,6,Marsh Wrens and other birds nest on the branches.,,Semi-evergreen.,6,7
Baptisia australis,Blue Wild indigo,baptisia_australis.jpg,3,3,1,2,1,1,3,4,Bumble bees and other native bees. ,Border. ,Neat-and-tidy. Spreads sideways from seeds dropped below the plant. ,1,3
Baptisia tinctoria,Yellow Wild-indigo,logo_785x853.jpg,2,4,1,1,1,2,15,7, A larval host for the rare Frosted Elfin and Wild Indigo Duskywing butterflies and the Io moth.,Border. ,,6,7
Betula nigra,River Birch,betula_nigra.jpg,6,2,4,5,5,6,6,5,"Seeds are eaten by Grouse, Turkey, song birds, and rodents; the caterpillars of many moths and the Mourning Cloak butterfly feed on birch; beavers feed on wood and bark and use branches in constructing lodges; cottaintails feed on foliage of young trees.",Specimen. Winter interest. Commercial spaces. Erosion control on stream banks.  ,"50-70 feet. May grow with multiple trunks, beautiful peeling bark. Fast growing and long-lived. Tolerates compacted soil and wet conditions. Does not tolerate shade.",1,6
Bidens aristosa,Tickseed Sunflower,bidens_aristosa.jpg,3,5,1,5,1,6,22,1," Seeds are eaten by rodents and many birds including Bobwhite, Swamp Sparrow, and Purple Finch; foliage occasionally eaten by Cottontail.","Border, meadow, pollinator garden. ",Reseeding annual. May be difficult to find for sale.,1,7
Bidens cernua,Nodding Beggar-ticks; Nodding Bur-marigold,bidens_cernua.jpg,2,5,2,2,1,6,19,6," Dainty Sulfur butterfly; seeds are eaten by birds including the Mallard, Swamp Sparrow, and Purple Finch; foliage occasionally eaten by Cottontail ",,May be difficult to find for sale. ,6,7
Bidens laevis,Smooth Bur-marigold,bidens_laevis.jpg,3,5,2,5,1,6,19,7,,,May be difficult to find for sale. ,5,7
Bignonia capreolata,Cross-vine,logo_785x853.jpg,5,3,2,3,3,6,28,6,,Evergreen.,"Clings to stone, brick, pergolas, and fences wihtout support. In fall, the leaves become purple until spring.",6,7
Caltha palustris,Marsh Marigold; Cowslip,caltha_palustris.jpg,2,3,2,6,1,6,3,5,, Ground cover. ,May be difficult to find for sale. ,5,6
Carex laxiculmis,Spreading sedge,logo_785x853.jpg,1,3,5,5,6,6,19,4,,Ground cover.,,6,6
Carex pensylvanica,Pennsylvania Sedge,carex_pensylvanica.jpg,1,3,3,2,6,1,1,4,,Ground cover.,Enriches the soil. Spreads by rhizomes. ,1,7
Carex plantaginea,Plantain-leaved Sedge,carex_plantaginea.jpg,1,2,5,4,6,6,5,5,,Ground cover.,Excellent substitute for liriope. Prefers a little shade.,1,3
Carex stricta,Tussock Sedge; Upright Sedge,logo_785x853.jpg,2,3,1,2,6,6,6,6,,Ground cover.,,6,7
Carpinus caroliniana,American Hornbeam; Ironwood,carpinus_caroliniana.jpg,6,8,5,3,5,2,1,7,"Larval host to Eastern Tiger Swallowtail, Striped Hairstreak, and Red-spotted Purple. Birds and mammals feed on fruit. Various parts are eaten by songbirds, pheasants, fox, squirrels, cottontail, beaver, deer; beaver use the wood.",Specimen. Commercial spaces.,Scarlet - orange fall foliage.,4,6
Carya cordiformis,Bitternut Hickory,carya_cordiformis.jpg,7,2,1,5,5,6,6,6,"Red Bellied Woodpecker, Blue Jay, Nuthatch, Gray Squirrel, Eastern Cottontail, Chipmunk. Larval host to many moths including Luna, Funeral Dagger, and Giant Regal.",,"Prefers moist conditions, unlike other hickories.",5,6
Carya glabra,Pignut Hickory,carya_glabra.jpg,7,2,2,3,5,6,23,3,"Many butterflies and moths feed on various parts; nuts are eaten by many mammals including Squirrels, Chipmunks, Fox, Raccoon, and Black Bear and some birds including Pheasants, Crow, Red-bellied Woodpecker, White-breasted Nuthatch, and Rose-breasted Grosbeak.",,,4,6
Carya tomentosa (alba?),Mockernut Hickory,logo_785x853.jpg,7,2,5,2,5,6,1,7,"Squirrels, bear, foxes, beavers, and mice feed on nuts and sometimes bark; minor source of food for ducks, quail, and turkey.",,,6,7
Castanea pumila,Allegheny Chinquapin,castanea_pumila.jpg,5,2,2,1,2,6,6,7,"Larval host to Orange-striped Oakworm moth. Squirrels, chipmunks, deer, opossums, blue jays, woodpeckers, grouse, quail, and turkey eat the nuts.",,,5,7
Caulophyllum thalictroides,Blue Cohosh; Common Blue Cohosh,logo_785x853.jpg,2,2,2,4,1,6,3,3,,Woodland garden. ,,6,7
Ceanothus americanus,New Jersey Tea; Redroot,ceanothus_americanus.jpg,2,4,2,1,2,6,24,6,"Rabbit and deer browse,  turkey and quail eat fruit. Summer azure and mottled duskywing butterflies feed on flowers and buds. Larval host to summer azure, mottled duskwing, and spring azure","Erosion control, shrub borders, shrubby ground cover.",,5,7
Celtis occidentalis,Common Hackberry,celtis_occidentalis.jpg,7,2,3,3,5,6,6,6,"Game birds, Bluebird, Flicker, Cardinal, Mockingbird, Evening Grosbeak, Robin, Cedar Waxwing, Titmouse, Flying Squirrel, Squirrel, Fox Squirrel, Raccoon, Rabbits; larval host to wild cherry sphinx, tawny emporer, hackberry emperor, American snout, question mark, and mourning cloak; many moth caterpillars eat foliage including ruddy dagger moth, thin-lined owlet, and small heterocampa.",,,5,7
Cephalanthus occidentalis,Buttonbush,cephalanthus_occidentalis.jpg,4,4,2,5,2,2,25,6," Mallard, Blue Winged Teal, Wood duck, Beaver. Larval host to 19 species of Lepidoptera. 24 species of birds will eat from the seed heads (and eat the caterpillars it hosts too). Buttonbush also attracts numerous nighttime nectar-feeding insects, including moths, as well as occasional hummingbirds during the day (per Alonso Abugattas).",,"Perfect for a low, wet area though may tolerate dry conditions as well. Pruning is usually unnecessary but may be done in early spring to shape. If plants become too large, may be cut back near to the ground to revitalize.",3,7
Cercis canadensis,Eastern Redbud,cercis_canadensis.jpg,5,2,3,3,5,6,22,6,"Various catepillars, Cardinal, various bees; Henry's elfin butterfly utilizes nectar; bobwhite quail and songbirds consume seeds.",Ornamental understory tree. Commercial spaces.,Showy spring display of lavendar flowers. 15-30 feet. Plant young trees - deep tap roots transplants poorly.,5,6
Chamaecrista fasciculata var. fasciculata,Common Partridge Pea,chamaecrista_fasciculata.jpg,2,4,1,1,1,6,21,4,"Major food for bobwhite and quail throughout winter; also consumed by other pheasants, mallards, and mice; provides cover for waterfowl, other birds, and small mammals; common sulfur butterfly lays eggs on it and caterpillars eat the leaves; larval host to orange sulphur and sleepy orange ",,Showy annual. Self-seeds. May be difficult to find for sale. ,3,7
Chelone glabra,White Turtlehead,chelone_glabra.jpg,2,6,3,5,1,5,18,6,Larval host for Baltimore checkerspot butterfly.  , Border. ,,1,7
Chimaphila maculata,Spotted Wintergreen; Striped Wintergreen;,chimaphila_maculata.jpg,1,3,5,1,1,6,30,6," Black bear, white footed mouse.  ","Woodland garden, ground cover.  ", Evergreen subshrub. Hard to establish. ,5,7
Chimaphila umbellata,Umbellate Wintergreen; Pipsissewa,logo_785x853.jpg,1,4,6,2,1,6,30,6,,, Evergreen subshrub. Hard to establish. May be hard to find for sale. ,6,7
Chionanthus virginicus,Fringe Tree; Old Mans Beard,chionanthus_virginicus.jpg,5,3,3,2,5,6,1,7,Larval host to rustic sphinx moth.,Ornamental understory tree. Commercial spaces.,"One of the last trees to leaf out in the spring. Slow grower. Drooping clusters of delicate, fragrant white blossoms. ",5,6
Chrysogonum virginianum,green and gold,chrysogonum_virginiana.jpg,1,3,3,2,1,6,1,3,,Ground cover.,"Excellent, very short ground cover, spreads well, easily transplanted. Long-blooming yellow flowers. Bright green leaves lighten the shade.",1,7
Chrysopsis mariana,Maryland Golden-aster,chrysopsis_mariana.jpg,2,5,2,1,1,6,20,4,,"Rock gardens, xeriscaping, borders, meadows. Wild gardens.  ",Short lived perennial but reseeds. ,5,7
Claytonia virginica,Virginia Spring Beauty,claytonia_virginica.jpg,1,2,5,2,1,4,13,4, Mice and chipmunks eat the plants. ,Mix in a lawn. ,"Tiny flowers, can form colonies. Plants go dormant after blooming. Spectacular in large patches.",5,7
Clematis virginiana,Virgin-bower,logo_785x853.jpg,5,5,3,5,3,6,25,6,,Fence cover.,"Spreads quickly and will dominate the area. This plant is poisonous and can cause skin irritation if touched. If burned, the smoke is toxic.  May be pruned at any time during the growing season.",6,7
Clitoria mariana,Butterfly Pea; Maryland Butterfly Pea,logo_785x853.jpg,3,4,2,1,1,6,1,4,,,May be hard to find for sale. ,6,7
Conoclinium coelestinium,Mistflower; Ageratum,conoclinium_coelestinum.jpg,2,6,5,3,1,6,4,5,,Border. Ground cover., Very assertive. ,6,7
Coreopsis verticillata,Whorled Coreopsis; Threadleaf Coreopsis,coreopsis_verticillata.jpg,2,3,2,1,1,1,4,3,, Border. , Moonbeam cultivar is sterile (will not self seed) and is very long-blooming. Nice mounded shape when mature. Spreads slowly by rhizomes.,1,7
Cornus amomum,Silky Dogwood,logo_785x853.jpg,4,3,2,5,2,6,1,6,"The Cornus genus is known to host about 118 species of Lepidoptera and over a dozen beetles. The drupes (fruits) are a vital food source for birds and some 98 species are known to eat them, as well as at least 16 mammal species, per Alonso Abugattas.",Commercial spaces.,Tolerates wet conditions.,6,7
Cornus florida,Flowering Dogwood,cornus_florida.jpg,5,2,4,2,5,6,22,3,"Woodpeckers, pheasants, songbirds, squirrel, rabbits, and chipmunks eat various parts; larval host to spring azure.",Ornamental understory tree. Commercial spaces.,"Virginia's state tree. 20 - 50 feet. Blooms in mid spring. More resistant to dogwood anthracnose fungus if planted in open areas, but if planted in full sun, it will need to be watered in extended dry spells.",5,6
Crataegus crus-galli,Cockspur Hawthorn,crataegus_crus_galli.jpg,6,3,2,2,2,6,6,6,"Hawthorns in general: More than 39 bird species have been seen eating the fruits (botanically pomes, but called ""haws"" colloquially), even more eat the more than 168 Lepidoptera species that feed on this genus as caterpillars. ",Hedge. Winter interest.,"20-35 feet. Flowering tree, long-lasting fruits. Horizontal thorny branches sweep the ground. Diseases can be problematic with hawthorns.",5,7
Decumaria barbara,Climbing Hydrangea; Woodvamp,decumaria_barbara.jpg,5,4,5,4,3,6,13,1,,ground cover. Cover for ledges and rock outcroppings. ,Evergreen. Will only bloom when climbing and on new wood. Deer resistant.,5,7
Dicentra cucullaria,Dutchmans Breeches,dicentra_cucullaria.jpg,2,2,5,4,1,6,13,7,, Woodland garden. ,Goes dormant after blooming.,5,3
Dicentra eximia,Wild Bleeding Heart,dicentra_eximia.jpg,2,3,5,5,1,1,3,3, Woodland garden.,Border.,May re-bloom throughout the summer. Naturalizes by reseeding when happy. Dislikes wet soils in winter and dry soils in summer. ,1,3
Dichanthelium clandestinum,Deer-Tongue Grass,dichanthelium_clandestinum.jpg,2,4,2,3,6,6,23,6,,,,5,7
Diospyros virginiana,Common or American Persimmon,diospyros_virginiana.jpg,6,3,4,5,5,3,22,5,"Fruit, leaves, buds are eaten by many birds and mammals including squirrels, foxes, opossums, and raccoons.  Forty-six different species of caterpillars have been documented feeding on them.",Edible fruit.,15 - 100 feet. Fruit is not edible until made very mushy by being exposed to frost or consistent low temperatures.,5,6
Dryopteris carthusiana,Spinulose Wood Fern,logo_785x853.jpg,2,1,5,2,4,6,5,3,,Evergreen. Clumping.,,6,7
Dryopteris intermedia,Evergreen Wood Fern; Intermediate Wood Fern,logo_785x853.jpg,2,1,5,3,4,6,30,3,,Evergreen. Clumping.,,6,7
Dryopteris marginalis,Marginal Wood Fern; Evergreen Shield Fern,logo_785x853.jpg,2,1,5,2,4,6,30,6,Provides cover for toads and lizards,Evergreen. Clumping.,,6,3
Elymus hystrix,Bottlebrush Grass,elymus_hystrix.jpg,2,6,3,5,6,6,22,3,,,,6,7
Elymus virginicus,Virginia Wild Rye,elymus_virginicus.jpg,3,4,5,2,6,6,17,6,,,,5,7
Equisetum hyemale,Tall Scouring Rush; Scouring Horestail,equisetum_hyemale.jpg,2,1,3,6,1,6,4,6,"Provides cover for wetland birds, small mammals, reptiles, amphibians, etc. ", Pond or border. Strong vertical accent., Spreads underground aggressively. Good for containers. Highly resistant to deer.,1,7
Eragrostis spectabilis,Purple Love Grass,eragrostis_spectabilis.jpg,1,5,1,4,6,2,23,4,,Edging.,"When grown en masse, this delicate grass creates a lovely purple cloud-like haze in late summer. In the late fall, the stems of the flowers fall and blow in the wind, like a tumble grass. Drought tolerant. ",1,7
Erigeron pulchellis,Robins Plantain,logo_785x853.jpg,1,3,4,2,1,6,14,7,,,,6,7
Eubotrys racemosus,Fetterbush; Swamp Dog Hobble,eubotrys_racemosa.jpg,4,3,5,5,2,6,30,6,,Naturalizing. Border with taller plants. Shady streambank stabilization.,"In full sun, Fetterbush has purplish foliage in the fall. Protect from winter wind. ",5,7
Euonymus americanus,Strawberry-bush; heart-a-bustin,logo_785x853.jpg,3,3,3,5,2,5,1,6,Turkey and songbirds occasionally eat seeds. Hosts 11 species of Lepidoptera.,A beautiful alternative to the invasive Burning Bush.,"Very shade tolerant, prefers moist conditions. A favorite of deer. Versatile, carefree shrub that is remarkably free of any disease or insect problem.",6,7
Eupatorium hyssopifolium,Hyssop-leaved Thoroughwort,logo_785x853.jpg,2,5,2,2,1,6,17,4,," Rain garden, meadow, winter interest.",,6,7
